Date,Crop,Price_per_Ton_EGP
2023-01-01,Wheat (قمح),9044.96
2023-01-02,Wheat (قمح),9033.04
2023-01-03,Wheat (قمح),9092.1
2023-01-04,Wheat (قمح),9230.21
2023-01-05,Wheat (قمح),9210.42
2023-01-06,Wheat (قمح),9190.9
2023-01-07,Wheat (قمح),9334.83
2023-01-08,Wheat (قمح),9405.96
2023-01-09,Wheat (قمح),9366.02
2023-01-10,Wheat (قمح),9417.42
2023-01-11,Wheat (قمح),9378.53
2023-01-12,Wheat (قمح),9339.69
2023-01-13,Wheat (قمح),9364.8
2023-01-14,Wheat (قمح),9196.19
2023-01-15,Wheat (قمح),9044.77
2023-01-16,Wheat (قمح),8998.25
2023-01-17,Wheat (قمح),8911.42
2023-01-18,Wheat (قمح),8944.27
2023-01-19,Wheat (قمح),8867.37
2023-01-20,Wheat (قمح),8745.33
2023-01-21,Wheat (قمح),8882.54
2023-01-22,Wheat (قمح),8867.77
2023-01-23,Wheat (قمح),8879.63
2023-01-24,Wheat (قمح),8757.42
2023-01-25,Wheat (قمح),8714.69
2023-01-26,Wheat (قمح),8731.16
2023-01-27,Wheat (قمح),8634.3
2023-01-28,Wheat (قمح),8675.06
2023-01-29,Wheat (قمح),8628.19
2023-01-30,Wheat (قمح),8609.34
2023-01-31,Wheat (قمح),8562.82
2023-02-01,Wheat (قمح),8737.37
2023-02-02,Wheat (قمح),8744.23
2023-02-03,Wheat (قمح),8657.32
2023-02-04,Wheat (قمح),8739.85
2023-02-05,Wheat (قمح),8638.69
2023-02-06,Wheat (قمح),8666.41
2023-02-07,Wheat (قمح),8499.16
2023-02-08,Wheat (قمح),8388.96
2023-02-09,Wheat (قمح),8416.2
2023-02-10,Wheat (قمح),8492.4
2023-02-11,Wheat (قمح),8517.74
2023-02-12,Wheat (قمح),8517.45
2023-02-13,Wheat (قمح),8500.66
2023-02-14,Wheat (قمح),8378.08
2023-02-15,Wheat (قمح),8323.97
2023-02-16,Wheat (قمح),8293.37
2023-02-17,Wheat (قمح),8399.54
2023-02-18,Wheat (قمح),8441.67
2023-02-19,Wheat (قمح),8294.37
2023-02-20,Wheat (قمح),8335.08
2023-02-21,Wheat (قمح),8312.13
2023-02-22,Wheat (قمح),8263.07
2023-02-23,Wheat (قمح),8330.14
2023-02-24,Wheat (قمح),8435.1
2023-02-25,Wheat (قمح),8531.24
2023-02-26,Wheat (قمح),8468.18
2023-02-27,Wheat (قمح),8452.96
2023-02-28,Wheat (قمح),8495.52
2023-03-01,Wheat (قمح),8596.2
2023-03-02,Wheat (قمح),8566.09
2023-03-03,Wheat (قمح),8562.52
2023-03-04,Wheat (قمح),8476.21
2023-03-05,Wheat (قمح),8381.93
2023-03-06,Wheat (قمح),8468.55
2023-03-07,Wheat (قمح),8604.22
2023-03-08,Wheat (قمح),8611.45
2023-03-09,Wheat (قمح),8715.58
2023-03-10,Wheat (قمح),8762.04
2023-03-11,Wheat (قمح),8717.99
2023-03-12,Wheat (قمح),8764.61
2023-03-13,Wheat (قمح),8917.22
2023-03-14,Wheat (قمح),8928.26
2023-03-15,Wheat (قمح),9083.42
2023-03-16,Wheat (قمح),8862.06
2023-03-17,Wheat (قمح),8950.52
2023-03-18,Wheat (قمح),8972.9
2023-03-19,Wheat (قمح),8960.6
2023-03-20,Wheat (قمح),8983.53
2023-03-21,Wheat (قمح),8819.37
2023-03-22,Wheat (قمح),8814.37
2023-03-23,Wheat (قمح),8861.32
2023-03-24,Wheat (قمح),9009.18
2023-03-25,Wheat (قمح),8977.41
2023-03-26,Wheat (قمح),8919.56
2023-03-27,Wheat (قمح),8889.34
2023-03-28,Wheat (قمح),8986.69
2023-03-29,Wheat (قمح),9031.25
2023-03-30,Wheat (قمح),8998.56
2023-03-31,Wheat (قمح),9059.76
2023-04-01,Wheat (قمح),9083.49
2023-04-02,Wheat (قمح),9185.67
2023-04-03,Wheat (قمح),9137.48
2023-04-04,Wheat (قمح),9122.97
2023-04-05,Wheat (قمح),9102.65
2023-04-06,Wheat (قمح),8985.88
2023-04-07,Wheat (قمح),9027.46
2023-04-08,Wheat (قمح),9065.86
2023-04-09,Wheat (قمح),9081.18
2023-04-10,Wheat (قمح),9074.9
2023-04-11,Wheat (قمح),8962.31
2023-04-12,Wheat (قمح),8939.19
2023-04-13,Wheat (قمح),8923.04
2023-04-14,Wheat (قمح),8865.48
2023-04-15,Wheat (قمح),8865.54
2023-04-16,Wheat (قمح),8916.43
2023-04-17,Wheat (قمح),9100.63
2023-04-18,Wheat (قمح),9130.73
2023-04-19,Wheat (قمح),9168.21
2023-04-20,Wheat (قمح),9175.74
2023-04-21,Wheat (قمح),9017.19
2023-04-22,Wheat (قمح),9028.86
2023-04-23,Wheat (قمح),9048.24
2023-04-24,Wheat (قمح),9283.79
2023-04-25,Wheat (قمح),9280.25
2023-04-26,Wheat (قمح),9321.04
2023-04-27,Wheat (قمح),9331.47
2023-04-28,Wheat (قمح),9239.73
2023-04-29,Wheat (قمح),9355.9
2023-04-30,Wheat (قمح),9436.78
2023-05-01,Wheat (قمح),9521.04
2023-05-02,Wheat (قمح),9452.15
2023-05-03,Wheat (قمح),9591.21
2023-05-04,Wheat (قمح),9477.72
2023-05-05,Wheat (قمح),9543.08
2023-05-06,Wheat (قمح),9752.62
2023-05-07,Wheat (قمح),9675.72
2023-05-08,Wheat (قمح),9636.85
2023-05-09,Wheat (قمح),9657.76
2023-05-10,Wheat (قمح),9624.23
2023-05-11,Wheat (قمح),9496.29
2023-05-12,Wheat (قمح),9513.92
2023-05-13,Wheat (قمح),9429.61
2023-05-14,Wheat (قمح),9483.35
2023-05-15,Wheat (قمح),9411.54
2023-05-16,Wheat (قمح),9561.8
2023-05-17,Wheat (قمح),9501.89
2023-05-18,Wheat (قمح),9483.31
2023-05-19,Wheat (قمح),9566.73
2023-05-20,Wheat (قمح),9465.98
2023-05-21,Wheat (قمح),9496.28
2023-05-22,Wheat (قمح),9623.55
2023-05-23,Wheat (قمح),9488.31
2023-05-24,Wheat (قمح),9514.15
2023-05-25,Wheat (قمح),9546.57
2023-05-26,Wheat (قمح),9625.75
2023-05-27,Wheat (قمح),9523.03
2023-05-28,Wheat (قمح),9412.58
2023-05-29,Wheat (قمح),9467.74
2023-05-30,Wheat (قمح),9502.43
2023-05-31,Wheat (قمح),9532.71
2023-06-01,Wheat (قمح),9571.41
2023-06-02,Wheat (قمح),9517.5
2023-06-03,Wheat (قمح),9545.47
2023-06-04,Wheat (قمح),9578.69
2023-06-05,Wheat (قمح),9521.0
2023-06-06,Wheat (قمح),9695.3
2023-06-07,Wheat (قمح),9744.08
2023-06-08,Wheat (قمح),9642.77
2023-06-09,Wheat (قمح),9707.53
2023-06-10,Wheat (قمح),9625.23
2023-06-11,Wheat (قمح),9701.25
2023-06-12,Wheat (قمح),9810.47
2023-06-13,Wheat (قمح),9741.3
2023-06-14,Wheat (قمح),9832.46
2023-06-15,Wheat (قمح),9873.81
2023-06-16,Wheat (قمح),9951.75
2023-06-17,Wheat (قمح),10126.17
2023-06-18,Wheat (قمح),10107.54
2023-06-19,Wheat (قمح),10042.9
2023-06-20,Wheat (قمح),9965.8
2023-06-21,Wheat (قمح),9895.07
2023-06-22,Wheat (قمح),9890.57
2023-06-23,Wheat (قمح),9923.46
2023-06-24,Wheat (قمح),9950.3
2023-06-25,Wheat (قمح),10026.42
2023-06-26,Wheat (قمح),10029.01
2023-06-27,Wheat (قمح),10160.99
2023-06-28,Wheat (قمح),10138.07
2023-06-29,Wheat (قمح),10383.53
2023-06-30,Wheat (قمح),10440.23
2023-07-01,Wheat (قمح),10363.21
2023-07-02,Wheat (قمح),10266.7
2023-07-03,Wheat (قمح),10309.74
2023-07-04,Wheat (قمح),10288.98
2023-07-05,Wheat (قمح),10352.34
2023-07-06,Wheat (قمح),10393.77
2023-07-07,Wheat (قمح),10385.8
2023-07-08,Wheat (قمح),10307.91
2023-07-09,Wheat (قمح),10169.64
2023-07-10,Wheat (قمح),10127.27
2023-07-11,Wheat (قمح),10201.9
2023-07-12,Wheat (قمح),10218.48
2023-07-13,Wheat (قمح),10103.41
2023-07-14,Wheat (قمح),10115.79
2023-07-15,Wheat (قمح),10147.02
2023-07-16,Wheat (قمح),10063.76
2023-07-17,Wheat (قمح),10073.64
2023-07-18,Wheat (قمح),10074.68
2023-07-19,Wheat (قمح),9967.36
2023-07-20,Wheat (قمح),9994.87
2023-07-21,Wheat (قمح),10040.39
2023-07-22,Wheat (قمح),10132.69
2023-07-23,Wheat (قمح),10222.1
2023-07-24,Wheat (قمح),10092.45
2023-07-25,Wheat (قمح),10002.14
2023-07-26,Wheat (قمح),10042.35
2023-07-27,Wheat (قمح),10082.22
2023-07-28,Wheat (قمح),10121.96
2023-07-29,Wheat (قمح),10461.87
2023-07-30,Wheat (قمح),10506.18
2023-07-31,Wheat (قمح),10601.09
2023-08-01,Wheat (قمح),10679.43
2023-08-02,Wheat (قمح),10730.32
2023-08-03,Wheat (قمح),10693.98
2023-08-04,Wheat (قمح),10754.11
2023-08-05,Wheat (قمح),10676.16
2023-08-06,Wheat (قمح),10646.24
2023-08-07,Wheat (قمح),10593.74
2023-08-08,Wheat (قمح),10592.09
2023-08-09,Wheat (قمح),10791.18
2023-08-10,Wheat (قمح),10613.69
2023-08-11,Wheat (قمح),10665.82
2023-08-12,Wheat (قمح),10510.85
2023-08-13,Wheat (قمح),10458.36
2023-08-14,Wheat (قمح),10546.15
2023-08-15,Wheat (قمح),10541.54
2023-08-16,Wheat (قمح),10433.96
2023-08-17,Wheat (قمح),10358.81
2023-08-18,Wheat (قمح),10409.03
2023-08-19,Wheat (قمح),10332.18
2023-08-20,Wheat (قمح),10340.37
2023-08-21,Wheat (قمح),10333.02
