Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),Yield_per_Acre,Water_Efficiency,Fertilizer_Efficiency,Pesticide_Efficiency,Input_Efficiency,Final_Efficiency_Score
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,Loamy,Kharif,76648.2,0.01140535458720588,0.022463394755588874,0.021657915624731,0.02043473734270717,0.022495675496550252,0.01969141556135664
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54,0.7517283809970716,0.10126762151222256,0.18503565879399136,0.032188249416931144,0.1014151719124507,0.2343270165265335
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,Silty,Kharif,75538.56,0.03289195756252997,0.06842822800840016,0.24149289822838493,0.2093985963008362,0.06853473836851448,0.12414928369373315
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,Silty,Zaid,45401.23,0.026444091309791074,0.1240919790545815,0.21374958531548074,0.02505592196202816,0.1242679906535758,0.10272191365909147
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,Clay,Zaid,93718.69,0.1018500915293398,0.07188420434704171,0.09906650131446658,0.031545006046521926,0.07198848156477183,0.07526685696042837
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,Loamy,Zaid,46487.98,0.9999999999999999,0.1368617451194352,0.11606434008956254,0.05751288514651483,0.1370533516721109,0.2894984644055246
F007,Soybean,360.06,Drip,1.83,2.37,44.93,Sandy,Rabi,40583.57,0.03798651264349958,0.1885232457400879,0.5369566932774132,0.06458003384987021,0.18880422815547754,0.2033701427332697
F008,Rice,464.6,Drip,5.18,0.91,4.23,Silty,Kharif,9392.38,0.0,0.06981592709382055,0.0,0.013734754644507798,0.0698754990272111,0.030685236153107885
F009,Maize,389.37,Drip,0.57,4.93,3.86,Peaty,Rabi,60202.14,0.0002656043879289121,0.0,0.1347255600262566,0.0,0.0,0.026998232882837103
F010,Soybean,184.37,Drip,2.18,2.67,17.25,Sandy,Kharif,90922.15,0.02773368171816893,0.022703715141284414,0.16053611468785803,0.02017441630532947,0.02273915201083676,0.050777415972695514
F011,Rice,279.95,Drip,8.02,1.24,32.85,Clay,Zaid,5869.75,0.035542619830179686,1.0,0.07418904044319057,0.09135079078914574,0.9999999999999999,0.44021649021250314
F012,Sugarcane,145.32,Flood,3.01,2.27,8.08,Clay,Kharif,88976.51,0.015268412156180976,0.004824902778333728,0.04225428730242162,0.009865674734516126,0.004832682523758888,0.015409191899042265
